"County","group","percentage"
"Tioga County, New York","Panamanian",0.431499460625674
"Broome County, New York","Salvadoran",1.07850514171056
"Chenango County, New York","Salvadoran",6.55105973025048
"Cortland County, New York","Salvadoran",0
"Herkimer County, New York","Salvadoran",0.305576776165011
"Kings County, New York","Salvadoran",1.9055477999275
"Madison County, New York","Salvadoran",0
"Miami-Dade County, Florida","Salvadoran",1.08184343043032
"Monroe County, Florida","Salvadoran",0.681094144787433
"Oneida County, New York","Salvadoran",2.09432206019237
"Oswego County, New York","Salvadoran",0.434056761268781
"Richmond County, New York","Salvadoran",0.83701250919794
"Tioga County, New York","Salvadoran",0
"Broome County, New York","Other Central American",0
"Chenango County, New York","Other Central American",0
"Cortland County, New York","Other Central American",0
"Herkimer County, New York","Other Central American",0
"Kings County, New York","Other Central American",0.187270043402587
"Madison County, New York","Other Central American",0
"Miami-Dade County, Florida","Other Central American",0.0130577586384388
"Monroe County, Florida","Other Central American",0.0274634735801384
"Oneida County, New York","Other Central American",0
"Oswego County, New York","Other Central American",0
"Richmond County, New York","Other Central American",0.0310430463576159
"Tioga County, New York","Other Central American",0
"Broome County, New York","South American",7.31126160020065
"Chenango County, New York","South American",6.26204238921002
"Cortland County, New York","South American",19.4053208137715
"Herkimer County, New York","South American",3.28495034377387
"Kings County, New York","South American",11.6610151838952
"Madison County, New York","South American",11.7647058823529
"Miami-Dade County, Florida","South American",18.3745962118413
"Monroe County, Florida","South American",6.63517521696144
"Oneida County, New York","South American",5.59261557555073
"Oswego County, New York","South American",8.11352253756261
"Richmond County, New York","South American",11.0754690949227
"Tioga County, New York","South American",0.862998921251348
"Broome County, New York","Argentinean",0.36368196639077
"Chenango County, New York","Argentinean",0.578034682080925
"Cortland County, New York","Argentinean",0
"Herkimer County, New York","Argentinean",2.13903743315508
"Kings County, New York","Argentinean",0.601467315869484
"Madison County, New York","Argentinean",2.32708468002586
"Miami-Dade County, Florida","Argentinean",1.97600189852225
"Monroe County, Florida","Argentinean",0.219707788641107
"Oneida County, New York","Argentinean",0.16289171579274
"Oswego County, New York","Argentinean",1.36894824707846
"Richmond County, New York","Argentinean",0.805969462840324
"Tioga County, New York","Argentinean",0
"Broome County, New York","Bolivian",0
"Chenango County, New York","Bolivian",0
"Cortland County, New York","Bolivian",0
"Herkimer County, New York","Bolivian",0
"Kings County, New York","Bolivian",0.0578834679607995
"Madison County, New York","Bolivian",0
"Miami-Dade County, Florida","Bolivian",0.258879546781994
"Monroe County, Florida","Bolivian",0.274634735801384
"Oneida County, New York","Bolivian",0.178405212534905
"Oswego County, New York","Bolivian",1.46911519198664
"Richmond County, New York","Bolivian",0.0885301692420898
"Tioga County, New York","Bolivian",0
"Broome County, New York","Chilean",0.526711813393529
"Chenango County, New York","Chilean",0
"Cortland County, New York","Chilean",1.79968701095462
